Name,Address,Phone,Website,Rating,Review Count,Email_1,Email_1_Method,Email_1_Source,Email_1_Accuracy_Score,Email_1_Confidence,Email_2,Email_2_Method,Email_2_Source,Email_2_Accuracy_Score,Email_2_Confidence,Email_3,Email_3_Method,Email_3_Source,Email_3_Accuracy_Score,Email_3_Confidence
Kohnan PRO,"1-chōme-9-9番3号 Hachimanyama, Setagaya City, Tokyo 156-0056, Japan",03-5316-2157,https://map.hc-kohnan.com/shop/625?utm_source=google&utm_medium=maps&utm_campaign=gmb,4,209,kohnan@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,kohnan@gmail.com,pattern_generation,common_domain,0.4,low,kohnan@yahoo.com,pattern_generation,common_domain,0.4,low
Town DOIT Toyotamanaka shop,"2-chōme-24-2 Toyotamanaka, Nerima City, Tokyo 176-0013, Japan",03-3991-2411,https://map.hc-kohnan.com/shop/486?utm_source=google&utm_medium=maps&utm_campaign=gmb,3.6,1440,town@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,town@gmail.com,pattern_generation,common_domain,0.4,low,town@yahoo.com,pattern_generation,common_domain,0.4,low
Konan PRO Asakusa store,"2-chōme-26-10 Imado, Taito City, Tokyo 111-0024, Japan",03-5808-5700,https://map.hc-kohnan.com/shop/656,4.1,58,konan@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,konan@gmail.com,pattern_generation,common_domain,0.4,low,konan@yahoo.com,pattern_generation,common_domain,0.4,low
Kohnan PRO Oji Horifune,"1-chōme-23-13 Horifune, Kita City, Tokyo 114-0004, Japan",03-5902-3611,https://map.hc-kohnan.com/shop/466?utm_source=google&utm_medium=maps&utm_campaign=gmb,3.9,407,kohnan@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,kohnan@gmail.com,pattern_generation,common_domain,0.4,low,kohnan@yahoo.com,pattern_generation,common_domain,0.4,low
Kohnan PRO,"2-chōme-3-1 Odasakae, Kawasaki Ward, Kawasaki, Kanagawa 210-0843, Japan",044-329-1681,https://map.hc-kohnan.com/shop/450?utm_source=google&utm_medium=maps&utm_campaign=gmb,3.7,2073,kohnan@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,kohnan@gmail.com,pattern_generation,common_domain,0.4,low,kohnan@yahoo.com,pattern_generation,common_domain,0.4,low
Beaver Pro Miyamae-nogawa Store,"1-chōme-35-7 Minaminogawa, Miyamae Ward, Kawasaki, Kanagawa 216-0042, Japan",044-740-3211,https://kohnan-pro.com/,3.9,994,beaver@kohnan-pro.com,pattern_generation,business_domain,0.7,medium,beaver@gmail.com,pattern_generation,common_domain,0.4,low,beaver@yahoo.com,pattern_generation,common_domain,0.4,low
Konanbibapurokyodoten,"5-chōme-33-1 Kyōdō, Setagaya City, Tokyo 156-0052, Japan",03-5426-5533,https://map.hc-kohnan.com/shop/639,3.5,105,konanbibapurokyodoten@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,konanbibapurokyodoten@gmail.com,pattern_generation,common_domain,0.4,low,konanbibapurokyodoten@yahoo.com,pattern_generation,common_domain,0.4,low
Kohnan PRO Kohoku Inter,"152 Orimotochō, Tsuzuki Ward, Yokohama, Kanagawa 224-0043, Japan",045-476-2380,https://map.hc-kohnan.com/shop/440?utm_source=google&utm_medium=maps&utm_campaign=gmb,3.9,868,kohnan@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,kohnan@gmail.com,pattern_generation,common_domain,0.4,low,kohnan@yahoo.com,pattern_generation,common_domain,0.4,low
Konan PRO Tsurumishishigayaten,"3-chōme-2-68 Shishigaya, Tsurumi Ward, Yokohama, Kanagawa 230-0073, Japan",045-583-5701,https://map.hc-kohnan.com/shop/484?utm_source=google&utm_medium=maps&utm_campaign=gmb,3.6,343,konan@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,konan@gmail.com,pattern_generation,common_domain,0.4,low,konan@yahoo.com,pattern_generation,common_domain,0.4,low
Kohnan PRO - Aoba Katsuradai,"2-chōme-38番地5 Katsuradai, Aoba Ward, Yokohama, Kanagawa 227-0034, Japan",045-962-5731,https://map.hc-kohnan.com/shop/631,3.9,70,kohnan@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,kohnan@gmail.com,pattern_generation,common_domain,0.4,low,kohnan@yahoo.com,pattern_generation,common_domain,0.4,low
Kohnan Pro,"1-chōme-20-17 Nozaki, Mitaka, Tokyo 181-0014, Japan",0422-39-5715,https://map.hc-kohnan.com/shop/622?utm_source=google&utm_medium=maps&utm_campaign=gmb,4.1,74,kohnan@map.hc-kohnan.com,pattern_generation,business_domain,0.7,medium,kohnan@gmail.com,pattern_generation,common_domain,0.4,low,kohnan@yahoo.com,pattern_generation,common_domain,0.4,low
