Name,Address,Phone,Website,Rating
Harbor Freight,"6500 Hull Street Road North, Richmond",(804) 745-5615,https://www.harborfreight.com/storelocator/6502-hull-st-road-2-richmond-23224?number=102,4.3 (1224 reviews)
Lowe's Home Improvement,"1640 West Broad Street, Richmond",(804) 219-0640,https://www.lowes.com/store/VA-Richmond/1037?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-1037-_-na-_-0-_-0&y_source=1_MTE4NDA3Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1 (2031 reviews)
Walmart Supercenter,"2410 Sheila Lane, Richmond",(804) 320-6991,https://www.walmart.com/store/2821-richmond-va/?veh=seo_loc,3.9 (5741 reviews)
Walmart Supercenter,"12000 Iron Bridge Road, Chester",(804) 768-0060,https://www.walmart.com/store/1524-chester-va/?veh=seo_loc,3.9 (5266 reviews)
The Home Depot,"1386 Carmia Way, Richmond",(804) 897-9021,https://www.homedepot.com/l/Midlothian/VA/Richmond/23235/4631?emt=MSGMBGoogleMaps,4.3 (1285 reviews)
Walmart Supercenter,"7901 Brook Road, Richmond",(804) 553-8432,https://www.walmart.com/store/2295-richmond-va/?veh=seo_loc,3.8 (5783 reviews)
The Home Depot,"12300 Chattanooga Plaza, Midlothian",(804) 744-6311,https://www.homedepot.com/l/SW-Richmond/VA/Midlothian/23112/4627?emt=MSGMBGoogleMaps,4.2 (1434 reviews)
The Home Depot,"6501 West Broad Street, Richmond",(804) 289-6020,https://www.homedepot.com/l/Intown-Richmond/VA/Richmond/23230/4632?emt=MSGMBGoogleMaps,4.1 (1533 reviews)
The Home Depot,"10233 Lakeridge Parkway, Ashland",(804) 550-0482,https://www.homedepot.com/l/North-Richmond/VA/Ashland/23005/4653?emt=MSGMBGoogleMaps,4.2 (1116 reviews)
The Home Depot,"7251 Bell Creek Road, Mechanicsville",(804) 559-7333,https://www.homedepot.com/l/Mechanicsville/VA/Mechanicsville/23111/4624?emt=MSGMBGoogleMaps,4.1 (1180 reviews)
The Home Depot,"12300 Route 1, Chester",(804) 706-4501,https://www.homedepot.com/l/South-Richmond-Chester/VA/Chester/23831/4616?emt=MSGMBGoogleMaps,4.2 (1399 reviews)
Walmart Supercenter,"11400 West Broad Street, Glen Allen",(804) 360-9777,https://www.walmart.com/store/1523-glen-allen-va/?veh=seo_loc,4 (5107 reviews)
Ollie's Bargain Outlet,"Meadowdale Shopping Center, 3950 Meadowdale Boulevard, Richmond",(804) 279-0314,https://www.ollies.com/,4.2 (1662 reviews)
Walmart Supercenter,"12200 Chattanooga Plaza, Midlothian",(804) 744-8437,https://www.walmart.com/store/2808-midlothian-va/?veh=seo_loc,4 (3210 reviews)
Northern Tool + Equipment,"8400 Midlothian Turnpike, Richmond",(804) 560-0187,https://www.northerntool.com/store/richmondva-store-northchesterfield-va,4.2 (439 reviews)
Walmart Supercenter,"7430 Bell Creek Road, Mechanicsville",(804) 730-8877,https://www.walmart.com/store/1525-mechanicsville-va/?veh=seo_loc,3.8 (4988 reviews)
The Home Depot,"11260 West Broad Street, Glen Allen",(804) 364-0782,https://www.homedepot.com/l/Richmond-W-Broad/VA/Glen-Allen/23060/4611?emt=MSGMBGoogleMaps,4.2 (1070 reviews)
Ollie's Bargain Outlet,"9125 West Broad Street, Richmond",(804) 754-4102,https://www.ollies.com/,4.2 (1697 reviews)
Lowe's Home Improvement,"6425 Mechanicsville Turnpike, Mechanicsville",(804) 417-8000,https://www.lowes.com/store/VA-Mechanicsville/2572?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-2572-_-na-_-0-_-0&y_source=1_MTE4NDA4My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4 (1389 reviews)
The Home Depot,"901 Rhode Island Avenue Northeast, Washington",(202) 526-8760,https://www.homedepot.com/l/NE-Washington-Dc/DC/Washington/20018/2583?emt=MSGMBGoogleMaps,3.9 (2398 reviews)
The Home Depot,"6210 Seven Corners Center, Falls Church",(703) 534-9580,https://www.homedepot.com/l/Falls-Church/VA/Falls-Church/22044/4608?emt=MSGMBGoogleMaps,3.9 (1923 reviews)
Walmart,"6210 Annapolis Road, Landover Hills",(301) 773-7848,https://www.walmart.com/store/5129-landover-hills-md?veh=seo_loc,3.8 (9396 reviews)
The Home Depot,"400 South Pickett Street, Alexandria",(703) 823-1900,https://www.homedepot.com/l/Alexandria/VA/Alexandria/22304/4603?emt=MSGMBGoogleMaps,4 (1582 reviews)
Walmart,"5885 Kingstowne Boulevard, Alexandria",(703) 924-8800,https://www.walmart.com/store/2194-alexandria-va?veh=seo_loc,3.9 (7788 reviews)
